Country	Country ISO3	Country Code	Long Name	Income Group	Lending Category	Region	Currency Unit	Other Groups	WTO Member	latitude	longitude
Sierra Leone	SLE	694	Republic of Sierra Leone	Low income	IDA	Sub-Saharan Africa	Sierra Leonean leone	HIPC	Yes	8.460555	-11.779889
Singapore	SGP	702	Republic of Singapore	High income: nonOECD		East Asia & Pacific	Singapore dollar		Yes	1.352083	103.819836
Sint Maarten	SXM	534	Sint Maarten (Dutch part)	High income: nonOECD		Latin America & Caribbean	Netherlands Antillean guilder		No		
Slovakia	SVK	703	Slovak Republic	High income: OECD		Europe & Central Asia	Euro	Euro area	Yes	48.669026	19.699024
Slovenia	SVN	705	Republic of Slovenia	High income: OECD		Europe & Central Asia	Euro	Euro area	Yes	46.151241	14.995463
Solomon Islands	SLB	90	Solomon Islands	Lower middle income	IDA	East Asia & Pacific	Solomon Islands dollar		Yes	-9.64571	160.156194
Somalia	SOM	706	Somali Democratic Republic	Low income	IDA	Sub-Saharan Africa	Somali shilling	HIPC	No	5.152149	46.199616
South Africa	ZAF	710	Republic of South Africa	Upper middle income	IBRD	Sub-Saharan Africa	South African rand		Yes	-30.559482	22.937506
South Asia	SAS	SAS	South Asia	Others							
South Asia	SAS	SAS	South Asia	Others							
South Georgia and the South Sa	SGS	239		Others					No		
South Korea	KOR	410	Republic of Korea	High income: OECD	IBRD	East Asia & Pacific	Korean won		Yes	35.907757	127.766922
South Sudan	SSD	728	Republic of South Sudan	Low income	IDA	Sub-Saharan Africa	South Sudanese Pound		No		
Soviet Union	SVU	810		Others					No		
Spain	ESP	724	Kingdom of Spain	High income: OECD		Europe & Central Asia	Euro	Euro area	Yes	40.463667	-3.74922
Special Categories	SPE	839		Others					No		
Sri Lanka	LKA	144	Democratic Socialist Republic of Sri Lanka	Lower middle income	Blend	South Asia	Sri Lankan rupee		Yes	7.873054	80.771797
Sub-Saharan Africa	SSF	SSF	Sub-Saharan Africa (all income levels)	Others							
Sub-Saharan Africa	SSF	SSF	Sub-Saharan Africa (all income levels)	Others							
Sudan	SDN	736	Republic of the Sudan	Lower middle income	IDA	Sub-Saharan Africa	Sudanese pound	HIPC	No	12.862807	30.217636
Sudan	SUD	729		Others					No	12.862807	30.217636
Suriname	SUR	740	Republic of Suriname	Upper middle income	IBRD	Latin America & Caribbean	Suriname dollar		Yes	3.919305	-56.027783
Swaziland	SWZ	748	Kingdom of Swaziland	Lower middle income	IBRD	Sub-Saharan Africa	Swaziland lilangeni		Yes	-26.522503	31.465866
Sweden	SWE	752	Kingdom of Sweden	High income: OECD		Europe & Central Asia	Swedish krona		Yes	60.128161	18.643501
Switzerland	CHE	756	Switzerland	High income: OECD		Europe & Central Asia	Swiss franc		Yes	46.818188	8.227512
Syria	SYR	760	Syrian Arab Republic	Lower middle income	IBRD	Middle East & North Africa	Syrian pound		No	34.802075	38.996815
São Tomé and Príncipe	STP	678	Democratic Republic of São Tomé and Principe	Lower middle income	IDA	Sub-Saharan Africa	São Tomé and Principe dobra	HIPC	No	0.18636	6.613081
Tajikistan	TJK	762	Republic of Tajikistan	Lower middle income	IDA	Europe & Central Asia	Tajik somoni		No	38.861034	71.276093
Tanzania	TZA	834	United Republic of Tanzania	Low income	IDA	Sub-Saharan Africa	Tanzanian shilling	HIPC	Yes	-6.369028	34.888822
Thailand	THA	764	Kingdom of Thailand	Upper middle income	IBRD	East Asia & Pacific	Thai baht		Yes	15.870032	100.992541
Togo	TGO	768	Republic of Togo	Low income	IDA	Sub-Saharan Africa	CFA franc	HIPC	Yes	8.619543	0.824782
Tokelau	TKL	772		Others					No	-8.967363	-171.855881
Tonga	TON	776	Kingdom of Tonga	Upper middle income	IDA	East Asia & Pacific	Tongan pa'anga		Yes	-21.178986	-175.198242
